boundary  -10 0  10 9.9
dielectric  7.0
net net0    -0.015  0.072    0.015  0.139
net net1    -0.110  0.072   -0.080  0.139
net net2     0.080  0.072    0.110  0.139
net net3    -0.059  0.247   -0.023  0.261
net net3    -0.060  0.261   -0.022  0.276
net net3    -0.061  0.276   -0.021  0.290
net net3    -0.062  0.290   -0.020  0.305
net net4     0.023  0.247    0.059  0.261
net net4     0.022  0.261    0.060  0.276
net net4     0.021  0.276    0.061  0.290
net net4     0.020  0.290    0.062  0.305


