boundary  -10 0  10 9.9
dielectric  4.9
net net0    -1.2563  7.7858    -1.2199  7.8508
net net1    -6.8055  2.0753    -6.7691  2.1403
net net2    8.1588  3.4346    8.1952  3.4508
net net2    8.1624  3.4508    8.1916  3.4671
net net2    8.1661  3.4671    8.1879  3.4833
net net2    8.1697  3.4833    8.1843  3.4996
net net3    -6.3908  7.2287    -6.3544  7.2450
net net3    -6.3872  7.2450    -6.3580  7.2612
net net3    -6.3835  7.2612    -6.3617  7.2775
net net3    -6.3799  7.2775    -6.3653  7.2937
net net4    2.6561  1.5345    2.6925  1.5995
net net5    5.6372  2.5241    5.6736  2.5891
net net6    4.8353  7.2355    4.8717  7.2518
net net6    4.8389  7.2518    4.8681  7.2680
net net6    4.8426  7.2680    4.8644  7.2843
net net6    4.8462  7.2843    4.8608  7.3005
net net7    -7.8956  5.4434    -7.8592  5.5084
net net8    4.9281  2.7834    4.9645  2.8484
net net9    -3.6148  2.1781    -3.5784  2.1944
net net9    -3.6112  2.1944    -3.5820  2.2106
net net9    -3.6075  2.2106    -3.5857  2.2268
net net9    -3.6039  2.2268    -3.5893  2.2431
net net10    -3.5528  0.2035    -3.5164  0.2198
net net10    -3.5492  0.2198    -3.5200  0.2360
net net10    -3.5455  0.2360    -3.5237  0.2522
net net10    -3.5419  0.2522    -3.5273  0.2685
net net11    -0.5406  6.2992    -0.5042  6.3155
net net11    -0.5370  6.3155    -0.5078  6.3317
net net11    -0.5333  6.3317    -0.5115  6.3480
net net11    -0.5297  6.3480    -0.5151  6.3642
net net12    6.7940  7.7474    6.8304  7.7637
net net12    6.7976  7.7637    6.8268  7.7799
net net12    6.8013  7.7799    6.8231  7.7962
net net12    6.8049  7.7962    6.8195  7.8124
net net13    -1.2718  6.6203    -1.2354  6.6366
net net13    -1.2682  6.6366    -1.2390  6.6528
net net13    -1.2645  6.6528    -1.2427  6.6691
net net13    -1.2609  6.6691    -1.2463  6.6853
net net14    -4.3625  7.9139    -4.3261  7.9789
net net15    -9.8322  7.4361    -9.7958  7.5011
