boundary  -10 0  10 9.9
dielectric  6.7
net net0    -9.2089  7.0170    -9.1676  7.0904
net net1    -1.1142  1.7854    -1.0729  1.8588
net net2    0.6754  5.8079    0.7167  5.8813
net net3    6.0499  6.3247    6.0912  6.3981
net net4    7.5204  5.5587    7.5617  5.5770
net net4    7.5245  5.5770    7.5576  5.5954
net net4    7.5287  5.5954    7.5534  5.6137
net net4    7.5328  5.6137    7.5493  5.6321
net net5    -6.6938  8.8246    -6.6525  8.8430
net net5    -6.6897  8.8430    -6.6566  8.8613
net net5    -6.6855  8.8613    -6.6608  8.8796
net net5    -6.6814  8.8796    -6.6649  8.8980
net net6    -4.0327  7.9024    -3.9914  7.9207
net net6    -4.0286  7.9207    -3.9955  7.9391
net net6    -4.0244  7.9391    -3.9997  7.9574
net net6    -4.0203  7.9574    -4.0038  7.9758
net net7    8.1872  6.0263    8.2285  6.0446
net net7    8.1913  6.0446    8.2244  6.0630
net net7    8.1955  6.0630    8.2202  6.0813
net net7    8.1996  6.0813    8.2161  6.0997
net net8    4.8207  3.0533    4.8620  3.1267
net net9    -0.8038  8.7075    -0.7625  8.7258
net net9    -0.7997  8.7258    -0.7666  8.7442
net net9    -0.7955  8.7442    -0.7708  8.7625
net net9    -0.7914  8.7625    -0.7749  8.7809
net net10    3.3067  0.4378    3.3480  0.4561
net net10    3.3108  0.4561    3.3439  0.4745
net net10    3.3150  0.4745    3.3397  0.4928
net net10    3.3191  0.4928    3.3356  0.5112
net net11    7.2380  8.6724    7.2793  8.6907
net net11    7.2421  8.6907    7.2752  8.7091
net net11    7.2463  8.7091    7.2710  8.7274
net net11    7.2504  8.7274    7.2669  8.7458
net net12    6.2994  2.1347    6.3407  2.2081
net net13    -4.3719  7.5934    -4.3306  7.6117
net net13    -4.3678  7.6117    -4.3347  7.6301
net net13    -4.3636  7.6301    -4.3389  7.6484
net net13    -4.3595  7.6484    -4.3430  7.6668
net net14    5.6599  7.5449    5.7012  7.6183
net net15    1.7784  8.8942    1.8197  8.9676
net net16    6.4697  4.5020    6.5110  4.5203
net net16    6.4738  4.5203    6.5069  4.5387
net net16    6.4780  4.5387    6.5027  4.5570
net net16    6.4821  4.5570    6.4986  4.5754
